AKAD University | akad.de
Wilhelm Büchner Hochschule | wb-fernstudium.de
IST-Hochschule für Management | ist-hochschule.de
APOLLON Hochschule der Gesundheitswirtschaft | apollon-hochschule.de
DIPLOMA Hochschule | diploma.de
DEKRA Hochschule für Medien Berlin | dekra-hochschule.de
Hochschule für angewandtes Management (FHAM) | fham.de
FHDW Fachhochschule der Wirtschaft | fhdw.de
EUFH Europäische Fachhochschule | eufh.de
Allensbach Hochschule Konstanz | allensbach-hochschule.de
SRH Fernhochschule (Mobile University) | mobile-university.de
