Evangelische Hochschule RWL Bochum | evh-bochum.de
Evangelische Hochschule für Soziale Arbeit & Diakonie Hamburg (Rauhes Haus) | rauheshaus.de
CVJM-Hochschule Kassel | cvjm-hochschule.de
Theologische Hochschule Friedensau | thh-friedensau.de
Kirchliche Hochschule Wuppertal/Bethel | kiho-wuppertal-bethel.de
Augustana-Hochschule Neuendettelsau | augustana.de
Philosophisch-Theologische Hochschule Vallendar (PTHV) | pthv.de
Hochschule für Philosophie München | hfph.de
Internationale Hochschule Liebenzell | ih-liebenzell.de
Theologische Hochschule Reutlingen | th-reutlingen.de
Hochschule für Jüdische Studien Heidelberg | hfjs.eu
