ESCP Business School Berlin | escp.eu | PRÜFEN (Verlinkung) | DR75 | Leads: efmdglobal.org, pantheonsorbonne.fr, escpeurope.eu, iraiser.eu, cci-paris-idf.fr, cge.asso.fr
TU Clausthal | tu-clausthal.de | AUSGESCHLOSSEN | DR75 | Leads: hispro.de, dokuwiki.org, federation.org, atlassian.net, efzn.de, ur.de
TU Bergakademie Freiberg | tu-freiberg.de | PRÜFEN (Verlinkung) | DR75 | Leads: terra-mineralia.de, tubaf.plus, vimp.com, innovative-hochschule.de, wisskomm.social, tubaf-erstis.info
Deutsche Sporthochschule Köln | dshs-koeln.de | PRÜFEN (Verlinkung) | DR75 | Leads: kstw.de, wisskomm.social, burg-services.de, provendis.info, spoho.net, bilddatenbanksoftware.de
FH Aachen | fh-aachen.de | AUSGESCHLOSSEN | DR74 | Leads: orca.nrw, hochschulcloud.nrw, futurelab-aachen.de, hawtech.de, dg-hochn.de, rheinisches-revier.de
Frankfurt UAS | frankfurt-university.de | AUSGESCHLOSSEN | DR74 | Leads: atlassian.net, kompetenzcampus.de, atlassian.com, fim-rc.de, hispro.de, panopto.eu
HWR Berlin | hwr-berlin.de | AUSGESCHLOSSEN | DR74 | Leads: simovative.com, htwk-leipzig.de, dresden-concept-jobs.de, eah-jena.de, europa-uni.de, berlin-university-alliance.de
Hochschule Niederrhein | hs-niederrhein.de | PRÜFEN (Verlinkung) | DR74 | Leads: unglaublich-wichtig.de, innovation2business.nrw, papieratlas.de, sicherimdienst.nrw, provendis.info, hsnr.de
HS RheinMain | hs-rm.de | AUSGESCHLOSSEN | DR74 | Leads: iqb.de, smart-schalten.de, sympa.org, rwth-aachen.de, unimedizin-mainz.de, edition-w3c.de
Katholische Universität Eichstätt-Ingolstadt | ku.de | AUSGESCHLOSSEN | DR74 | Leads: arcgis.com, stoa.org, hintbox.de, elexikon.ch, socialnet.de, copernicus.org
Hochschule Esslingen | hs-esslingen.de | GRENZFALL | DR73 | Leads: duke.edu, moria.org.uk, mint-frauen-bw.de, unglaublich-wichtig.de, fedoraproject.org, region-stuttgart.de
Hochschule Düsseldorf (HSD) | hs-duesseldorf.de | AUSGESCHLOSSEN | DR73 | Leads: erinnerungsort-duesseldorf.de, forena.de, bildung-vor-ort.com, unglaublich-wichtig.de, rp-online.de, wissensregion-duesseldorf.de
