TH Nürnberg (Georg Simon Ohm) | th-nuernberg.de | AUSGESCHLOSSEN | DR73 | Leads: studiengangstest.de, encn.de, ohmportal.de, ohm-professional-school.de, e-beratungsinstitut.de, ohm-professional-school.com
Hochschule Bochum | hochschule-bochum.de | PRÜFEN (Verlinkung) | DR73 | Leads: unglaublich-wichtig.de, just.social, akafoe.de, thalesruhr.de, antragocloud.de, rwth-aachen.de
Hochschule Bielefeld (HSBI) | hsbi.de | PRÜFEN (Verlinkung) | DR73 | Leads: dfn.de, gestaltung-bielefeld.de, mobiel.de, t1p.de, tiggerswelt.net, politeknik.de
FH Dortmund | fh-dortmund.de | PRÜFEN (Verlinkung) | DR73 | Leads: internationale-hochschulkooperationen.de, fhdo-design.de, stwdo.de, dortmund.de, fh.do, cleverreach.com
BHT Berlin (Berliner Hochschule für Technik) | bht-berlin.de | PRÜFEN (Verlinkung) | DR73 | Leads: bht-pages.de, stellenticket-startups.de, htwk-leipzig.de, dresden-concept-jobs.de, eah-jena.de, berlin-university-alliance.de
Hochschule Bremen (HSB) | hs-bremen.de | AUSGESCHLOSSEN | DR73 | Leads: graduatecenter.org, pumukit.org, bdew.de, butenunbinnen.de, dokuwiki.org, tagesschau.de
SRH Hochschule Heidelberg (SRH University) | srh-university.de | AUSGESCHLOSSEN | DR73 | Leads: srh.de, greenindustrycluster.de, berlin-partner.de, srh-store.de, friendlycaptcha.com, srh-hochschule-heidelberg.de
Hertie School | hertie-school.org | AUSGESCHLOSSEN | DR73 | Leads: delorscentre.eu, ohchr.org, unsplash.com, invtdu.to, civica.eu, cambridge.org
Hochschule Wismar | hs-wismar.de | PRÜFEN (Verlinkung) | DR73 | Leads: wings-university.com, sympa.community, joomla.org, leafletjs.com, cityofnewyork.us, bryanmcbride.com
Ostfalia Hochschule für angewandte Wissenschaften | ostfalia.de | AUSGESCHLOSSEN | DR73 | Leads: liferay.com, sonia.de, hbk-bs.de, 3landesmuseen.de, entrepreneurship-hub.org, genderzentrum.de
SRH Hochschule für Gesundheit Gera | srh-university.de | AUSGESCHLOSSEN | DR73 | Leads: srh.de, greenindustrycluster.de, berlin-partner.de, srh-store.de, friendlycaptcha.com, srh-hochschule-heidelberg.de
Hochschule Karlsruhe (HKA) | h-ka.de | AUSGESCHLOSSEN | DR72 | Leads: kit.edu, ingenium-university.eu, ph-karlsruhe.de, hka-iwi.de, karlsruhe.de, vdi.de
