Technische Hochschule Augsburg (THA) | tha.de | PRÜFEN (Verlinkung) | DR72 | Leads: luga.de, tum.de, hswt.de, landkreis-dillingen.de, ieconline.de, crossvertise.com
WHU – Otto Beisheim School of Management | whu.edu | PRÜFEN (Verlinkung) | DR72 | Leads: whu-shop.com, simovative.com, informs.org, aom.org, focus.de, ft.com
TH OWL | th-owl.de | AUSGESCHLOSSEN | DR72 | Leads: librecat.org, europepmc.org, wiso-net.de, bildungsbruecken-owl.de, wbv.de, gi.de
HS Magdeburg-Stendal | h2.de | PRÜFEN (Verlinkung) | DR72 | Leads: german-jordanian.org, nachwuchsmarkt.de, ovgu.de, budrich-journals.de, vocatium.de, dwa.de
HS Anhalt | hs-anhalt.de | PRÜFEN (Verlinkung) | DR72 | Leads: webuntis.com, his.de, behindertenbeauftragter.de, circular-economy.education
HTW Dresden | htw-dresden.de | PRÜFEN (Verlinkung) | DR72 | Leads: plu.mx, bka.gv.at, nixos.org, itsax.de, vatican.va, evlks.de
HS Mainz | hs-mainz.de | PRÜFEN (Verlinkung) | DR72 | Leads: mainzed.org, wissenschaftsallianz-mainz.de, bids-mainz.de, zdv.net, vcrp.de, fig.net
Hochschule für nachhaltige Entwicklung Eberswalde (HNEE) | hnee.de | PRÜFEN (Verlinkung) | DR72 | Leads: waldwelten.de, tourismus-eberswalde.de, eberswalde.de, orgprints.org, snm-hnee.de, bigbluebutton.org
Burg Giebichenstein Kunsthochschule Halle | burg-halle.de | PRÜFEN (Verlinkung) | DR72 | Leads: ostkreuzschule.de, gmpg.org, slideshare.net, ddw.nl, issuu.com, kunstmuseum-moritzburg.de
OTH Regensburg | oth-regensburg.de | AUSGESCHLOSSEN | DR71 | Leads: vimp.com, stwno.de, socialnet.de, tum.de, re-mic.de, vhb.org
Hochschule Pforzheim | hs-pforzheim.de | PRÜFEN (Verlinkung) | DR71 | Leads: duosecurity.com, coppermine-gallery.com, coppermine-gallery.net, vimp.com, ur.de, was-studiere-ich.de
Westfälische Hochschule (Gelsenkirchen) | w-hs.de | PRÜFEN (Verlinkung) | DR71 | Leads: weibo.com, akafoe.de, progotec.de, fachschaftinformatik.de, idw-online.de, iat.eu
