FH Südwestfalen | fh-swf.de | AUSGESCHLOSSEN | DR71 | Leads: erasmusplus.de, suedwestfalen-agentur.com, verbundstudium.de, bmel-statistik.de, legunet.de, publikationen-bundesregierung.de
Hochschule Offenburg | hs-offenburg.de | PRÜFEN (Verlinkung) | DR71 | Leads: swfr.de, getindico.io, shorts-offenburg.de, zkm.de, freiburg.de, unibas.ch
Hochschule Mannheim | hs-mannheim.de | PRÜFEN (Verlinkung) | DR71 | Leads: sun.com, dhik.org, vdf-thmannheim.de, unglaublich-wichtig.de, inno-space.de, hfsw.de
TH Ingolstadt (THI) | thi.de | PRÜFEN (Verlinkung) | DR71 | Leads: primuss.de, ainin.de, inas-institut.de, thi-science.de, ku.de, mensch-in-bewegung.info
TH Wildau | th-wildau.de | PRÜFEN (Verlinkung) | DR71 | Leads: innohub13.de, dahme-innovation.de, faszination-lehre.de, famethemes.com, e-teaching.org, mynewsdesk.com
HS Trier | hochschule-trier.de | PRÜFEN (Verlinkung) | DR71 | Leads: umwelt-campus.de, shop-hs-trier.de, vcrp.de, studiwerk.de, panopto.com, career-service-hochschule-trier.de
HS Koblenz | hs-koblenz.de | PRÜFEN (Verlinkung) | DR71 | Leads: vcrp.de, zfh.de, kinderuni-koblenz.de, mhonarc.org, panopto.com, sympa.community
Constructor University Bremen | constructor.university | AUSGESCHLOSSEN | DR71 | Leads: jacobs-university.de, mint-ec.de, vispato.com, diplo.de, issmys.eu, spanisch-lehrbuch.de
Hochschule Fresenius | hs-fresenius.de | AUSGESCHLOSSEN | DR71 | Leads: amdnet.de, carl-remigius.de, ecosign.de, charlotte-fresenius-uni.de, fernstudium-fresenius.de, crf-education.com
Europa-Universität Flensburg | uni-flensburg.de | AUSGESCHLOSSEN | DR71 | Leads: euf.systems, nomos.de, eule-flensburg.de, flensburg.de, zhb-flensburg.de, lernnetz-sh.de
Universität Vechta | uni-vechta.de | PRÜFEN (Verlinkung) | DR71 | Leads: his.de, 3drei3.de, jagdverband.de, landakademie.de, ndstsk.de, desinfektion-dvg.de
HafenCity Universität Hamburg | hcu-hamburg.de | PRÜFEN (Verlinkung) | DR71 | Leads: vimp.com, tuhh.de, hoou.de, dgpf.de, cyquest.net, int-arch-photogramm-remote-sens-spatial-inf-sci.net
