Alice Salomon Hochschule Berlin | ash-berlin.eu | AUSGESCHLOSSEN | DR71 | Leads: dokuwiki.org, stw.berlin, alice-salomon-archiv.de, berliner-zeitung.de, partkommplus.de, beltz.de
Hochschule für Grafik und Buchkunst Leipzig | hgb-leipzig.de | AUSGESCHLOSSEN | DR71 | Leads: lentos.at, linz09.at, pascoe.xyz, carlaselva.com, lsiemoneit.de, webstandards.org
Kunsthochschule für Medien Köln (KHM) | khm.de | PRÜFEN (Verlinkung) | DR71 | Leads: cellms.de, multispecies.studio, wptheming.com, schneier.com, theguardian.com, nettime.org
Hochschule Reutlingen | reutlingen-university.de | GRENZFALL | DR70 | Leads: twitch.tv, esb-business-school.de, cleverreach.com, richwp.com, felixkrusch.com, webuntis.com
HS Geisenheim | hs-geisenheim.de | PRÜFEN (Verlinkung) | DR70 | Leads: hessenfis.de, openstreetmap.org, opendatacommons.org, geisenheimer-unikeller.de, oenologen.com, 6glasses1bottle.de
CBS International Business School | cbs.de | AUSGESCHLOSSEN | DR70 | Leads: prep4university-studienkolleg.de, messengerpeople.com, hsforms.net, shopify.com, website-files.com, klett-gruppe.de
Bucerius Law School | law-school.de | AUSGESCHLOSSEN | DR70 | Leads: plesk.com, wpguardian.com, wpguardian.io
Katholische Hochschule Nordrhein-Westfalen (KatHO NRW) | katho-nrw.de | AUSGESCHLOSSEN | DR70 | Leads: klima-kollekte.de, s-inn.net, beltz.de, budrich.de, socialnet.de, dip.de
Hochschule für Bildende Künste Hamburg | hfbk-hamburg.de | AUSGESCHLOSSEN | DR70 | Leads: telenautik.de, blastfanclub.com, artbasis.info, axelsylvester.com, squeak.org, imdb.com
Hochschule für Künste Bremen (HfK Bremen) | hfk-bremen.de | PRÜFEN (Verlinkung) | DR70 | Leads: thedynamicarchive.net, artisticphd-hfkbremen.net, radioangrezi.de, interpretinnenkammer.com, circa106.info, postillu.com
Hochschule für Gestaltung Schwäbisch Gmünd (HfG Gmünd) | hfg-gmuend.de | KEIN FUND | DR70 | Leads: sigmoid.social, his.de, gestaltung.ai, ddc.de, init-gd.de, ux-design-awards.com
Alanus Hochschule für Kunst und Gesellschaft, Alfter | alanus.edu | PRÜFEN (Verlinkung) | DR70 | Leads: captcha.org, freeters.de, markusstockhausen.de, pulsverbund.eu, mahara.org, plesk.com
