Hochschule Rhein-Waal | hochschule-rhein-waal.de | AUSGESCHLOSSEN | DR69 | Leads: oekoprofit.info, dg-hochn.de, sicherimdienst.nrw, ufvinternational.com, dokuwiki.org, list-manage.com
Hochschule Aalen | hs-aalen.de | PRÜFEN (Verlinkung) | DR69 | Leads: smart-schalten.de, htw-aalen.de, explorhino.de, iaria.org, computer.org, drmaier-partner.de
Hochschule Landshut | haw-landshut.de | PRÜFEN (Verlinkung) | DR69 | Leads: mwn.de, primuss.de, stwno.de, lavv.info, mbsla.de, landshut.de
HS Zittau/Görlitz (HSZG) | hszg.de | AUSGESCHLOSSEN | DR69 | Leads: saechsische-filmakademie.de, degruyterbrill.com, typo3.org, life-and-technology.eu, tul.cz, kia-studium.de
EBS Universität für Wirtschaft und Recht | ebs.edu | PRÜFEN (Verlinkung) | DR69 | Leads: srh.de, qq.com, ft.com, friendlycaptcha.com, wiwo.de, forbes.com
Hochschule Neubrandenburg | hs-nb.de | PRÜFEN (Verlinkung) | DR69 | Leads: zelt-nb.de, ur.de, naturschutzgeschichte.de, iugr.net, gesetze-im-internet.de, dabamos.de
Kunsthochschule Berlin-Weißensee | kh-berlin.de | AUSGESCHLOSSEN | DR69 | Leads: incom.org, servicecenter-khs.de, seeup.de, julegeflitter.com, formfjord.com, nr21.com
Akademie der Bildenden Künste München | adbk.de | AUSGESCHLOSSEN | DR69 | Leads: dj-extensions.com, bayerische-landesbibliothek-online.de, wmflabs.org, openstreetmap.org, leafletjs.com, lothringer13.com
Staatliche Akademie der Bildenden Künste Stuttgart | abk-stuttgart.de | AUSGESCHLOSSEN | DR69 | Leads: kunstbuero-bw.de, adk-bw.de, abk.live, kunstmuseum-stuttgart.de, villa-merkel.de, klasse-choi.de
Staatliche Hochschule für Gestaltung Karlsruhe (HfG Karlsruhe) | hfg-karlsruhe.de | PRÜFEN (Verlinkung) | DR69 | Leads: zkm.de, jubez.de, offenbach.de, bastiangoecke.de, bielicky.net, devport.net
Hochschule Kempten | hs-kempten.de | AUSGESCHLOSSEN | DR68 | Leads: mediathek-jugendarbeit.de, ruhr-uni-bochum.de, bayern-gegen-gewalt.de, gesis.org, anti-bias.eu, diskriminierungsfreie-bildung.de
TH Brandenburg | th-brandenburg.de | PRÜFEN (Verlinkung) | DR68 | Leads: olli-machts.de, thingamablog.com, webspeiseplan.de, stwwb.de, emailsys1a.net, bbc.co.uk
