HS Merseburg | hs-merseburg.de | PRÜFEN (Verlinkung) | DR68 | Leads: mitteldeutschland.com, vimp.com, bigbluebutton.org, ovgu.de, inlibra.com, socialnet.de
Westsächsische HS Zwickau (WHZ) | whz.de | AUSGESCHLOSSEN | DR68 | Leads: kit.edu, knosys.co, mentor-zwickau.de, swcz.de, whz-racingteam.de, innovative-hochschule.de
Hochschule Emden/Leer | hs-emden-leer.de | PRÜFEN (Verlinkung) | DR68 | Leads: mathplan.de, bouncycastle.org, sf.net, querydsl.com, lowagie.com, jetbrains.org
FHM Fachhochschule des Mittelstands | fh-mittelstand.de | AUSGESCHLOSSEN | DR68 | Leads: private-hochschulen.net, fhm-campus.de, fhm-international.de, kooperationsstudium.de, certqua.de, medischulen.de
Hochschule für Gestaltung Offenbach (HfG Offenbach) | hfg-offenbach.de | PRÜFEN (Verlinkung) | DR68 | Leads: swffm.de, bundesgesundheitsministerium.de, offenbach.de, dfjw.org, wege-zur-pflege.de, heinerblum.de
Hochschule Harz | hs-harz.de | AUSGESCHLOSSEN | DR67 | Leads: rocksolidthemes.com, ovgu.de, wissenschafts-thurm.de, moveon4.de, medieninformatik.de, h2.de
Hochschule für Bildende Künste Braunschweig | hbk-bs.de | PRÜFEN (Verlinkung) | DR67 | Leads: sonia.de, federation.org, antidiskriminierung-bs.de, his.de, ostfalia.de, fk-hbk.de
Hochschule für Musik und Tanz Köln | hfmt-koeln.de | AUSGESCHLOSSEN | DR67 | Leads: die-deutschen-musikhochschulen.de, asimut.net, schauspiel.koeln, koelnticket.de, dfn.de, muvac.com
Hochschule für Musik und Theater Leipzig | hmt-leipzig.de | PRÜFEN (Verlinkung) | DR67 | Leads: slub-dresden.de, sachsen.digital, saengerakademie-schloss-hartenfels.de, qucosa.de, musiconn.de, kalliope-verbund.info
Hochschule Stralsund | hochschule-stralsund.de | PRÜFEN (Verlinkung) | DR66 | Leads: sund-xplosion.de, dl0hst.de, b-ite.com, agu-hochschulen.de, stueber.de, colorlib.com
HHL Leipzig Graduate School of Management | hhl.de | PRÜFEN (Verlinkung) | DR66 | Leads: newleipzigtalents.com, scenarioplanning.eu, xing-share.com, clicresearch.org, lvz.de, hhl-digital.space
Hochschule für Musik Franz Liszt Weimar | hfm-weimar.de | PRÜFEN (Verlinkung) | DR66 | Leads: kinderuni-weimar.de, asimut.net, dokuwiki.org, weimar.de, musicbrainz.org, brahms-institut.de
