Muthesius Kunsthochschule Kiel | muthesius-kunsthochschule.de | PRÜFEN (Verlinkung) | DR66 | Leads: 
Nordakademie (Elmshorn) | nordakademie.de | AUSGESCHLOSSEN | DR65 | Leads: hsforms.com, hubspot.com, nwb.de, otto.de, fbs-elmshorn.de, owlit.de
Hochschule Ruhr West | hochschule-ruhr-west.de | PRÜFEN (Verlinkung) | DR65 | Leads: mint-web.de, handmann.net, unicum-merchandising.com, mint4u.de, muelheim-ruhr.de, charm-eu.eu
Hochschule Bremerhaven | hs-bremerhaven.de | PRÜFEN (Verlinkung) | DR65 | Leads: astaonline.de, hoou.de, crowdin.com, stueber.de, his.de, gi.de
Hochschule Neu-Ulm (HNU) | hnu.de | PRÜFEN (Verlinkung) | DR64 | Leads: pim-plattform.de, hochschulschloss.de, innosued.de, aisnet.org, newbooksnetwork.com, hawaii.edu
Hochschule Flensburg | hs-flensburg.de | PRÜFEN (Verlinkung) | DR64 | Leads: planetarium-gluecksburg.de, campuscareer-jobs.de, sked.de, zhb-flensburg.de, eveeno.com, campuscareer.de
IST-Hochschule für Management | ist-hochschule.de | AUSGESCHLOSSEN | DR64 | Leads: ist.de, variete.de, screenforce.de, degefest.de, digitalestadtduesseldorf.de, perform-better.de
Hochschule für Musik Detmold | hfm-detmold.de | PRÜFEN (Verlinkung) | DR64 | Leads: gmp-vmp.de, dega-akustik.de, his.de, ingentaconnect.com, aes.org, scitation.org
Hochschule für Musik und Theater München | hmtm.de | PRÜFEN (Verlinkung) | DR64 | Leads: lrz.de, dvb.bayern, forwart-muenchen.de, theaterakademie.de, muenchenticket.de, openmusic.academy
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart | hmdk-stuttgart.de | AUSGESCHLOSSEN | DR64 | Leads: gwdg.de, wilhelma-theater.de, e-fork.net, horads.de, his.de, staatsoper-stuttgart.de
Hochschule für Musik und Darstellende Kunst Mannheim | muho-mannheim.de | PRÜFEN (Verlinkung) | DR64 | Leads: altefeuerwache.com, pfälzischemusikgesellschaft.de, bloch.de, meisterkurs-jugend-musiziert.de, his.de, karlsruhe.de
Hochschule Worms | hs-worms.de | PRÜFEN (Verlinkung) | DR63 | Leads: his.de, panopto.com, vcrp.de, he.net, android.com, zyantific.com
