MSH Medical School Hamburg | medicalschool-hamburg.de | AUSGESCHLOSSEN | DR62 | Leads: hafencity-institut-systemische-ausbildung.de, hafencity-institut-psychotherapie.de, trainex32.de, private-hochschulen.info, iro-group.de, arts-and-social-change.de
Katholische Hochschule für Sozialwesen Berlin (KHSB) | khsb-berlin.de | KEIN FUND | DR62 | Leads: martin-fromm.de, frank-meyer.info, typo3.org, mahara.org, typo3.com, rkh-d.de
Robert Schumann Hochschule Düsseldorf | rsh-duesseldorf.de | AUSGESCHLOSSEN | DR62 | Leads: muvac.com, tib.eu, musikundmedien.net, duesseldorf.de, jmarend.de, filmakademie.de
ISM International School of Management | ism.de | AUSGESCHLOSSEN | DR61 | Leads: ism-fernstudium.de, bafoeg-digital.de, braincapital.de, bafoeg-rechner.de, unicum-merchandising.com, softgarden.io
Kunstakademie Düsseldorf | kunstakademie-duesseldorf.de | AUSGESCHLOSSEN | DR61 | Leads: his.de, didaktik-der-bildenden-kuenste.de, sehepunkte.de, archplus.net, campus.de, klassebaukunst.de
Hochschule für Musik Carl Maria von Weber Dresden | hfmdd.de | PRÜFEN (Verlinkung) | DR61 | Leads: bamf.de, reaper.fm, andyfite.net, jazzclubtonne.de, frankbungarten.de, sebastian-merk.de
Hochschule für Musik Karlsruhe | hfm-karlsruhe.de | PRÜFEN (Verlinkung) | DR61 | Leads: stadtkirche-karlsruhe.de, jungerkulturkanal.de, karlsruhe.de, his.de, sw-ka.de, kit.edu
HS Schmalkalden | hs-schmalkalden.de | PRÜFEN (Verlinkung) | DR60 | Leads: hsm-fernstudium.de, hereingeforscht.de, angewandte-kunststofftechnik.de, karrieremesse-schmalkalden.de, dokuwiki.org, yahoo.com
HS Nordhausen | hs-nordhausen.de | AUSGESCHLOSSEN | DR60 | Leads: mathplan.de, bouncycastle.org, his.de, sf.net, lowagie.com, jetbrains.org
APOLLON Hochschule der Gesundheitswirtschaft | apollon-hochschule.de | AUSGESCHLOSSEN | DR60 | Leads: klett-gruppe.de, fernstudium-direkt.de, fernstudium-infos.de, klett-corporate-education.de, dmea.de, yumpu.com
Evangelische Hochschule Freiburg (EH Freiburg) | eh-freiburg.de | KEIN FUND | DR60 | Leads: zfkj.de, fel-verlag.de, verfassungsblog.de, esg-fr.de, swfr.de, primuss.de
Hochschule für Musik Würzburg | hfm-wuerzburg.de | KEIN FUND | DR60 | Leads: swerk-wue.de, muvac.com, tbh.bayern, unm.edu, hokkyodai.ac.jp, rochester.edu
