Evangelische Hochschule RWL Bochum | evh-bochum.de | AUSGESCHLOSSEN | DR55 | Leads: ich-will-sinn.de, bodys-wissen.de, efh-bochum.de, socialnet.de, s-inn.net, ruhr-uni-bochum.de
Evangelische Hochschule für Soziale Arbeit & Diakonie Hamburg (Rauhes Haus) | rauheshaus.de | AUSGESCHLOSSEN | DR55 | Leads: rauhes.de, lebenswelten-dialog.hamburg, ev-hochschule-hh.de, wichern-schule.de, ev-berufsschule-hh.de, klabauter-theater.de
accadis Hochschule Bad Homburg | accadis.com | AUSGESCHLOSSEN | DR54 | Leads: transresult.net, fresenius.de, glueckskinder.de, taunussparkasse.de, investec.com, koerting-institute.com
Katholische Hochschule Mainz (KH Mainz) | kh-mz.de | AUSGESCHLOSSEN | DR54 | Leads: buesch-web.de
Kunstakademie Münster | kunstakademie-muenster.de | AUSGESCHLOSSEN | DR54 | Leads: wwu.de, daad-ukraine.org, wn.de, kooperativestrategien.net, goethe.de, muenster.de
Hochschule für Musik Saar Saarbrücken | hfmsaar.de | PRÜFEN (Verlinkung) | DR54 | Leads: 
GISMA Business School | gisma.com | AUSGESCHLOSSEN | DR53 | Leads: gusgermany.com, dwcdn.net, globaluniversitysystems.com, edology.com, civey.com, hostingadvice.com
Karlshochschule International University Karlsruhe | karlshochschule.de | PRÜFEN (Verlinkung) | DR53 | Leads: karlsuniversity.de, khs-kunden.de, zukunftsinstitut.de, karlsruhe.de, routledge.com, re-direction.org
Steinbeis-Hochschule Berlin | steinbeis-hochschule.de | KEIN FUND | DR53 | Leads: bitvtest.de, adg-business-school.de, zeb-bs.de, gesetze-im-internet.de, implantologie-parodontologie-master.de, sba-management-school.de
SRH Berlin University of Applied Sciences | srh-berlin.de | AUSGESCHLOSSEN | DR53 | Leads: srh-university.de, srh-store.de, srh.de, bvg.de, zeitfuerx.de, valucon.de
Mannheim Business School | mannheim-business-school.com | PRÜFEN (Verlinkung) | DR53 | Leads: tfaforms.net, shop-mbs.de, xing-events.com, iwwb.de, ey.com, make-it-in-germany.com
Kühne Logistics University (KLU) | klu.org | AUSGESCHLOSSEN | DR52 | Leads: houseofeducation.com, the-klu.org
