Allensbach Hochschule Konstanz | allensbach-hochschule.de | KEIN FUND | DR52 | Leads: hsforms.net, zfu.de, landesrecht-bw.de, beck.de, simovative.com, ets.org
CVJM-Hochschule Kassel | cvjm-hochschule.de | KEIN FUND | DR52 | Leads: web-opac.de, cvjm-blog.de, wertestarter.de, cvjm.de, zukunft-jugendarbeit.de, himmelsfels.de
Evangelische Hochschule Ludwigsburg (EH Ludwigsburg) | eh-ludwigsburg.de | AUSGESCHLOSSEN | DR51 | Leads: hispro.de, elk-wue.de, iwwb.de, eh-ludwigsburg-online.de, ph-ludwigsburg.de, interaktive-technologien.de
Staatliche Akademie der Bildenden Künste Karlsruhe | kunstakademie-karlsruhe.de | PRÜFEN (Verlinkung) | DR51 | Leads: video-stream-hosting.de, landesrecht-bw.de, gesetze-im-internet.de, his.de, kunstbuero-bw.de, zkm.de
Evangelische Hochschule Darmstadt (EH Hessen) | eh-hessen.de | PRÜFEN (Verlinkung) | DR50 | Leads: eh-darmstadt.de, izgs.de, socialnet.de, gffz.de, campus-lll.de, infodienst-schuldnerberatung.de
Theologische Hochschule Friedensau | thh-friedensau.de | AUSGESCHLOSSEN | DR50 | Leads: thhf.de, sedo.com, ladencafe-friedensau.de, friedensau.de, dacb.org, advent-verlag.de
Hochschule Macromedia | macromedia.de | AUSGESCHLOSSEN | DR49 | Leads: simovative.com, onelogin.com, gge-germany.de, mhmk-international.org
Fachhochschule Dresden (FHD) | fh-dresden.eu | KEIN FUND | DR49 | Leads: a4.school, littlejohnbikes.de, smart-systems-hub.de, cromatics.de, chongliang-zhong.de, queo.de
DHBW Karlsruhe | dhbw-karlsruhe.de | AUSGESCHLOSSEN | DR47 | Leads: ceur-ws.org, izpack.org, rapla.org, pnml.org, dtu.dk, tue.nl
Augustana-Hochschule Neuendettelsau | augustana.de | AUSGESCHLOSSEN | DR47 | Leads: 
Berlin International University of Applied Sciences | berlin-international.de | KEIN FUND | DR46 | Leads: oxfordinternational.com, cambridge.org, purdue.edu, bard.edu, manchester.ac.uk, chicagomanualofstyle.org
XU Exponential University Potsdam | xu-university.com | AUSGESCHLOSSEN | DR42 | Leads: wace.org.cn, xu-university.de, braincapital.de, trainex22.de, youronlinechoices.com, networkadvertising.org
