Hochschule für katholische Kirchenmusik und Musikpädagogik Regensburg | hfkm-regensburg.de | AUSGESCHLOSSEN | DR41 | Leads: jugend-musiziert.org, okticket.de, regensburger-hochschultag.de, bistum-regensburg.de, cleverreach.com, falkmusic.de
DHBW Mosbach | dhbw-mosbach.de | AUSGESCHLOSSEN | DR39 | Leads: 
Hochschule für Kirchenmusik Heidelberg | hfk-heidelberg.de | AUSGESCHLOSSEN | DR38 | Leads: 
Charlotte Fresenius Hochschule | charlotte-fresenius-uni.de | KEIN FUND | DR37 | Leads: crf-education.com, researchtransparency.org, hogrefe.com, htmlwidgets.org, bundesgesundheitsministerium.de, ggplot2.org
Theologische Hochschule Reutlingen | th-reutlingen.de | PRÜFEN (Verlinkung) | DR37 | Leads: eopac.net, emk.de, konfirmandenarbeit.eu, edition-ruprecht.de, newsletter2go.com, bildungsserver.de
EBC Hochschule | ebc-hochschule.de | AUSGESCHLOSSEN | DR34 | Leads: eso.de
LMU München | unigesellschaft.de | AUSGESCHLOSSEN | DR27 | Leads: lmu.de, 100jahremug.de, safety.google, forms.gle, muenchenticket.de, e-recht24.de
Universität Hamburg | uni-gesellschaft-hh.de | AUSGESCHLOSSEN | DR20 | Leads: vereinonline.org, mohrsiebeck.com, profihost.com, uke.de, languageonthemove.com, wallstein-verlag.de
Universität Ulm | uug-ulm.de | AUSGESCHLOSSEN | DR11 | Leads: mwk-bw.de, zawiw.de, postlithiumstorage.org, thu.de, quantumbw.de, iqst.org
Universität zu Köln | stiftung-uni-koeln.de | AUSGESCHLOSSEN | DR7 | Leads: innodom-cologne.de, server-he.de, executivedialogue.de, lawcliniccologne.com, gesetze-im-internet.de, aknw.de
Universität Erfurt | unigesellschaft-erfurt.de | AUSGESCHLOSSEN | DR6 | Leads: 
Fachhochschule Erfurt | foerderverein-fhe.de | PRÜFEN (Verlinkung) | DR1 | Leads: hochschulball-erfurt.de, dekra.de, stadtwerke-erfurt.de, thueringerenergie.de, huk.de, henkel-bau.de
