Nr,Status,Hochschule,Domain,Ahrefs_DR,Linked_Domains_dofollow,Outgoing_Links_dofollow
1,LINK VERIFIZIERT,HdM Stuttgart (Hochschule der Medien),hdm-stuttgart.de,75.0,5143,5112725
2,LINK VERIFIZIERT,OTH Amberg-Weiden,oth-aw.de,70.0,1980,132453
3,LINK VERIFIZIERT,TH Georg Agricola (Bochum),thga.de,56.0,1066,5106973
4,LINK VERIFIZIERT,THWS Würzburg-Schweinfurt,thws.de,71.0,3191,4774156
S1,SPONSORING-SEITE,FH Wedel (privat),fh-wedel.de,65.0,1036,244241
S2,SPONSORING-SEITE,HTWG Konstanz,htwg-konstanz.de,72.0,2212,55844
S3,SPONSORING-SEITE,Hochschule Bonn-Rhein-Sieg (H-BRS),h-brs.de,72.0,2255,144407
S4,SPONSORING-SEITE,Hochschule Coburg,hs-coburg.de,70.0,1026,129301
S5,SPONSORING-SEITE,Hochschule Osnabrück,hs-osnabrueck.de,76.0,3914,321015
S6,SPONSORING-SEITE,Jade Hochschule,jade-hs.de,71.0,1965,12941515
S7,SPONSORING-SEITE,KIT Karlsruhe,kit.edu,85.0,45811,3495794
S8,SPONSORING-SEITE,RWTH Aachen,rwth-aachen.de,85.0,27388,3222513
S9,SPONSORING-SEITE,TH Aschaffenburg,th-ab.de,59.0,794,64274
S10,SPONSORING-SEITE,TH Deggendorf,th-deg.de,72.0,861,690295
S11,SPONSORING-SEITE,TU Chemnitz,tu-chemnitz.de,80.0,12932,1222867
S12,SPONSORING-SEITE,Universität Bremen,uni-bremen.de,83.0,20360,90132399
S13,SPONSORING-SEITE,Universität Marburg,uni-marburg.de,81.0,10647,927020
S14,SPONSORING-SEITE,Universität Passau,uni-passau.de,77.0,3683,1643752
S15,SPONSORING-SEITE,Universität Stuttgart,uni-stuttgart.de,84.0,22061,17804563
-,PRÜFEN (Modell),Hochschule Ansbach,hs-ansbach.de,62.0,1328,88184
-,PRÜFEN (Verlinkung),Hochschule Neu-Ulm (HNU),hnu.de,64.0,1269,141988
-,PRÜFEN (Domain),Universität Halle (MLU),uni-halle.de,81.0,13744,1552650
-,PRÜFEN (Domain),Universität Mainz (JGU),uni-mainz.de,83.0,13862,17015640
