Stadt,Domain,DR,Status,Verlinkung,Listungsseite,Quelle
Dortmund,dortmund.de,80.0,FIRMEN-LINKS,ja,dortmund.de/dortmund-erleben/freizeit-und-kultur/museen/dortmunder-dew21-museumsnacht/sponsor-innen/,Bestand
Braunschweig,braunschweig.de,78.0,FIRMEN-LINKS,ja,braunschweig.de/tdn/sponsoren-tdn.php,Bestand
Wuppertal,wuppertal.de,77.0,PARTNERBEREICH,gering,wuppertal.de/microsite/langer-tisch/Sponsoren_/index.php,Bestand
Mainz,mainz.de,76.0,FIRMEN-LINKS,ja,mainz.de/angebote-entdecken/mobiliaet-und-verkehr/fahrrad/aktionen/stadtradeln,Bestand
Rostock,rostock.de,76.0,PARTNERBEREICH,gering,rathaus.rostock.de/.../sponsoren_partner_der_29_hanse_sail_rostock/275389,Bestand
Erfurt,erfurt.de,76.0,PARTNERBEREICH,gering,erfurt.de/ef/de/service/aktuelles/pm/2025/151660.html,Bestand
Lübeck,luebeck.de,76.0,PARTNERBEREICH,gering,luebeck.de/de/presse/pressemeldungen/view/135212,Bestand
Bremerhaven,bremerhaven.de,75.0,FIRMEN-LINKS,ja,bremerhaven.de/de/veranstaltungen/sail-2025/service/sponsoren-medienpartner.77635.html,Bestand
Hamm,hamm.de,74.0,FIRMEN-LINKS,ja,hamm.de/erfahren/sponsoren,Bestand
Ludwigsburg,ludwigsburg.de,74.0,FIRMEN-LINKS,ja,visit.ludwigsburg.de/start/presse+_+b2b/partner+und+sponsoren.html,Bestand
Magdeburg,magdeburg.de,74.0,FIRMEN-LINKS,ja,wissenschaftsnacht.magdeburg.de/unterstuetzer,Bestand
Saarbrücken,saarbruecken.de,74.0,FIRMEN-LOGOS,teilweise,altstadtfest.saarbruecken.de/partner,Bestand
Paderborn,paderborn.de,74.0,PARTNERBEREICH,gering,paderborn.de/microsite/libori/index.php,Bestand
Offenbach am Main,offenbach.de,74.0,PARTNERBEREICH,gering,offenbach.de/unternehmen/gruenderstadt-offenbach/partner.php,Bestand
Ingolstadt,ingolstadt.de,74.0,PARTNERBEREICH,gering,theater.ingolstadt.de/service/haus/sponsoren-partner.html,Bestand
